Title,Subtitle,Author,Format,Formats Owned
10% Happier,"How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help ...",Dan Harris,"Kindle, Audible",2
1001 Drives You Must Experience Before You Die,,Darryl Sleath,Physical,1
101 Essays That Will Change The Way You Think,,Brianna Wiest,Audible,1
101 Things to Do Before You're Old and Boring,,Helen Szirtes,Physical,1
11.22.63,,Stephen King,"Kindle, Audible",2
12 Rules for Life,An Antidote to Chaos,Jordan B. Peterson,"Kindle, Audible",2
13 Things Mentally Strong People Don't Do,,Amy Morin,"Kindle, Audible",2
1Q84,The Complete Trilogy,Haruki Murakami,Kindle,1
"20,000 Days and Counting",The Crash Course for Mastering Your Life Right Now,Robert D. Smith,Physical,1
2032 - An Experimental Post-Apocalyptic Novel,,A.S. Anand,Kindle,1
2034,A Novel of the Next World War,Elliot Ackerman,Kindle,1
2054,A Novel,Elliot Ackerman,Kindle,1
21 Big Ideas That Will Change Your Life,Timeless Wisdom of the Greatest Minds in History,Darius Foroux,Kindle,1
222 QI Answers to Your Quite Ingenious Questions,More of Your Questions Answered by the QI Elves,QI Elves,Physical,1
25 Things You Need to Know About the Future,,Christopher Barnatt,Kindle,1
3,00 a.m. (Henry Bins Book 1),Nick Pirog,Kindle,1
3 Commando Brigade,,Ewen Southby-Tailyour,Physical,1
3 Days in June,3 Para's Battle for Mount Longdon,James O'Connell,Physical,1
3 LIES,A Masters CIA Thriller (The Masters CIA Thriller Series Book 1),Helen Hanson,Kindle,1
3 Para,,Patrick Bishop,Physical,1
365 Days With Self-Discipline,"365 Life-Altering Thoughts on Self-Control, Mental Resilience, and Success",Martin Meadows,Audible,1
4 Disciplines of Execution,,Sean Covey,Physical,1
4 Nicholas Colt Novels (A Colt Universe Collection Volume 1),,Jude Hardin,Kindle,1
4-Hour Body,,,Physical,1
42 Rules of Product Management (2nd Edition),"Learn the Rules of Product Management from Leading Experts ""from"" ...",Brian Lawley,Kindle,1
42 Rules of Product Marketing,Learn the Rules of Product Marketing from Leading Experts from around the World,Phil Burton,Kindle,1
48 Hours,A City of London Thriller J,Jackson Bentley,Kindle,1
48 Laws of Power,,Robert Greene,Audible,1
50 Big Ideas You Really Need to Know (50 Ideas) (Hardcover),,Ben Dupre,Physical,1
50 Walks in Worcestershire & Herefordshire,50 Walks of 2 to 10 Miles,AA Publishing,Physical,1
"61 Hours (Jack Reacher, Book 14)",,Lee Child,Kindle,1
66 Metres,"A chilling thriller that will keep you on the edge of your seat! (Nadia Laksheva Spy Thriller Series, Book 1)",J.F. Kirwan,Kindle,1
7 Deadly Thrills Michael,,Wallace,Kindle,1
7 Habits Of Highly Effective Families,,Stephen R. Covey,Physical,1
7 Simple Habits of Extraordinary Salespeople,,Michael Hannon,Kindle,1
7 Thoughts to Live Your Life By,"A Guide to the Happy, Peaceful, & Meaningful Life",I. C. Robledo,Audible,1
7 Thoughts to Live Your Life By,"A Guide to the Happy, Peaceful, & Meaningful Life (Master Your Mind,",Revolution.. I. C. Robledo,Kindle,1
802.11n,A Survival Guide: Wi-Fi Above 100 Mbps,Matthew S. Gast,Kindle,1
9 Killer Thrillers - 9 complete thriller novels,,Melissa F. Miller,Kindle,1
99 Habit Success Stories,"Proven Successful Habits of Everyday People, Authors, Entrepreneurs, Celebrities and Promin...",Michal Stawicki,Kindle,1
A Better Way to Live,Og Mandino's Own Personal Story of Success Featuring 17 Rules to Live By,Og Mandino,Physical,1
A Better World (The Brilliance Trilogy Book 2),,Marcus Sakev,Kindle,1
A Bitter Dying,"A Provocative Novel About Hostages, Paybacks & Murder",L.J. Sellers,Kindle,1
A Book of Secrets,Finding comfort in a complex world,Derren Brown,Kindle,1
A Brief Guide to Cloud Computing,An essential guide to the next computing revolution. (Brief Histories),Christopher Barnatt,Kindle,1
A Calendar of Wisdom,New Translation (Alma Classics),Leo Tolstoy,Kindle,1
A Colder War,A gripping spy action crime thriller from the Sunday Times Top 10 best selling author (Thomas Kell Spy Thriller Book 2),Charles Cumming,Kindle,1
A Complete and Utter Failure,"A Celebration of Also-Rans, Runners-Up, Never-Weres & Total Flops",Neil Steinberg,Physical,1
"A Dead Red Alibi (The Dead Red Mystery Series, Book 4)",,RP Dahlke,Kindle,1
A Departure,,Tom Ward,Kindle,1
A Divided Spy,A gripping espionage thriller from the master of the modern spy fiction novel (Thomas Kell Spy Thriller Book 3),Charles Cumming,Kindle,1
A Exam Cram (Discussion Paper),,J. Jones,Physical,1
A Foreign Country,"From the Sunday Times Top Ten bestselling author, a compelling spy action crime thriller you won't want to put down (Thomas Kell Spy Thriller Book 1)",Charles Cumming,Kindle,1
A Foreign Field,,Ben Macintyre,Physical,1
A Gentleman in Moscow,,Amor Towles,Audible,1
A Guide to the Good Life,The Ancient Art of,Stoic Joy,"Kindle, Audible",2
A History of Modern Britain,,Andrew Marr,Physical,1
A History of Western Philosophy in 500 Essential Quotations,,Lennox Johnson,Kindle,1
A Hole In the Sky,"Arkship Trilogy, Book 1",Peter F. Hamilton,Audible,1
